Material, Thickness (cm), Dose (rad), High Risk Events
Composite (27H:13S),2.5,2.82885e-18,113118
Composite (27H:13S),3.0,2.9653700000000004e-18,117669
Composite (27H:13S),3.5,3.15052e-18,123294
Composite (27H:13S),4.0,3.4622e-18,141110
Composite (27H:13S),4.5,3.83194e-18,415065
Composite (27H:13S),5.0,3.62494e-18,411558
Composite (27H:13S),5.5,3.4057400000000004e-18,402282
Composite (27H:13S),6.0,3.18707e-18,396708
Composite (27H:13S),6.5,2.9488800000000003e-18,384827
Composite (27H:13S),7.0,2.70714e-18,377838
Composite (27H:13S),7.5,2.45101e-18,371360
Composite (27H:13S),8.0,2.18461e-18,358157
Composite (27H:13S),8.5,1.8909400000000002e-18,347018
Composite (27H:13S),9.0,1.56877e-18,336587
Composite (27H:13S),9.5,1.19936e-18,322909
Composite (27H:13S),10.0,7.271730000000001e-19,304189
Composite (27H:13S),10.5,4.2140199999999994e-20,47196
Composite (27H:13S),11.0,4.83818e-21,7811
Composite (27H:13S),11.5,4.49067e-21,7310
Composite (27H:13S),12.0,4.79304e-21,7171
Composite (27H:13S),12.5,4.20011e-21,6763
Composite (27H:13S),13.0,3.92141e-21,6602
Composite (27H:13S),13.5,3.9308999999999994e-21,6258
Composite (27H:13S),14.0,3.51159e-21,5854
Composite (27H:13S),14.5,3.47118e-21,5377
Composite (27H:13S),15.0,3.56229e-21,5372
Composite (27H:13S),15.5,3.19487e-21,5239
Composite (27H:13S),16.0,2.8985599999999998e-21,4728
Composite (27H:13S),16.5,3.04124e-21,4608
Composite (27H:13S),17.0,2.97442e-21,4541
Composite (27H:13S),17.5,2.98428e-21,4230
Composite (27H:13S),18.0,2.6871099999999998e-21,4224
Composite (27H:13S),18.5,2.6898899999999997e-21,4084
Composite (27H:13S),19.0,2.30128e-21,3611
Composite (27H:13S),19.5,2.29498e-21,3478
Composite (27H:13S),20.0,2.41817e-21,3520
Aluminum Wall 6mm (BaseLine),2.0,2.87555e-22,339
Aluminum Wall 6mm (BaseLine),2.5,3.18521e-22,344
Aluminum Wall 6mm (BaseLine),3.0,2.82836e-22,250
Aluminum Wall 6mm (BaseLine),3.5,2.36663e-22,274
Aluminum Wall 6mm (BaseLine),4.0,2.41513e-22,274
Aluminum Wall 6mm (BaseLine),4.5,2.7806399999999997e-22,314
Aluminum Wall 6mm (BaseLine),5.0,2.604e-22,244
Aluminum Wall 6mm (BaseLine),5.5,2.42418e-22,221
Aluminum Wall 6mm (BaseLine),6.0,2.01341e-22,209
Aluminum Wall 6mm (BaseLine),6.5,2.38265e-22,259
Aluminum Wall 6mm (BaseLine),7.0,2.2575e-22,277
Aluminum Wall 6mm (BaseLine),7.5,2.1093699999999999e-22,234
Aluminum Wall 6mm (BaseLine),8.0,1.96986e-22,198
Aluminum Wall 6mm (BaseLine),8.5,2.21486e-22,274
Aluminum Wall 6mm (BaseLine),9.0,1.91402e-22,217
Aluminum Wall 6mm (BaseLine),9.5,2.30361e-22,215
Aluminum Wall 6mm (BaseLine),10.0,1.68327e-22,172
Aluminum Wall 6mm (BaseLine),10.5,1.84836e-22,208
Aluminum Wall 6mm (BaseLine),11.0,1.74214e-22,204
Aluminum Wall 6mm (BaseLine),11.5,1.9617199999999999e-22,170
Aluminum Wall 6mm (BaseLine),12.0,1.81295e-22,190
Aluminum Wall 6mm (BaseLine),12.5,1.77481e-22,193
Aluminum Wall 6mm (BaseLine),13.0,1.5428e-22,209
Aluminum Wall 6mm (BaseLine),13.5,1.46913e-22,181
Aluminum Wall 6mm (BaseLine),14.0,1.60597e-22,191
Aluminum Wall 6mm (BaseLine),14.5,1.44049e-22,161
Aluminum Wall 6mm (BaseLine),15.0,1.71362e-22,180
HDPE,2.0,1.68264e-22,148
HDPE,2.5,1.9366599999999999e-22,191
HDPE,3.0,1.56287e-22,118
HDPE,3.5,1.41921e-22,178
HDPE,4.0,1.52524e-22,146
HDPE,4.5,1.33512e-22,156
HDPE,5.0,1.29821e-22,132
HDPE,5.5,1.24821e-22,159
HDPE,6.0,1.41559e-22,124
HDPE,6.5,1.09977e-22,120
HDPE,7.0,9.063960000000001e-23,102
HDPE,7.5,9.336670000000001e-23,129
HDPE,8.0,1.0692799999999999e-22,128
HDPE,8.5,9.3692e-23,111
HDPE,9.0,8.60302e-23,112
HDPE,9.5,1.08537e-22,119
HDPE,10.0,7.83132e-23,109
HDPE,10.5,8.614690000000001e-23,114
HDPE,11.0,4.95656e-23,80
HDPE,11.5,7.371370000000001e-23,84
HDPE,12.0,8.543890000000001e-23,83
HDPE,12.5,6.41904e-23,71
HDPE,13.0,6.72078e-23,71
HDPE,13.5,5.92624e-23,63
HDPE,14.0,5.03286e-23,74
HDPE,14.5,5.69266e-23,70
HDPE,15.0,4.92287e-23,87
Composite (27H:13S),2.0,2.52809e-22,271
Composite (27H:13S),2.5,2.20092e-22,197
Composite (27H:13S),3.0,2.46732e-22,215
Composite (27H:13S),3.5,1.61003e-22,178
Composite (27H:13S),4.0,1.78251e-22,209
Composite (27H:13S),4.5,2.03496e-22,190
Composite (27H:13S),5.0,1.7038499999999999e-22,195
Composite (27H:13S),5.5,1.37525e-22,188
Composite (27H:13S),6.0,1.50189e-22,165
Composite (27H:13S),6.5,1.3636e-22,170
Composite (27H:13S),7.0,1.17744e-22,125
Composite (27H:13S),7.5,1.36426e-22,178
Composite (27H:13S),8.0,1.3508499999999999e-22,136
Composite (27H:13S),8.5,1.0341399999999999e-22,134
Composite (27H:13S),9.0,9.99233e-23,119
Composite (27H:13S),9.5,1.07399e-22,114
Composite (27H:13S),10.0,9.759940000000001e-23,115
Composite (27H:13S),10.5,9.442e-23,109
Composite (27H:13S),11.0,7.43735e-23,76
Composite (27H:13S),11.5,9.661480000000001e-23,108
Composite (27H:13S),12.0,5.74109e-23,92
Composite (27H:13S),12.5,7.98152e-23,88
Composite (27H:13S),13.0,5.774320000000001e-23,81
Composite (27H:13S),13.5,6.59743e-23,60
Composite (27H:13S),14.0,4.53958e-23,57
Composite (27H:13S),14.5,5.65254e-23,61
Composite (27H:13S),15.0,7.27553e-23,85
Aluminum Wall 6mm (BaseLine),2.0,1.59016e-18,98194
Aluminum Wall 6mm (BaseLine),2.5,1.58884e-18,98167
Aluminum Wall 6mm (BaseLine),3.0,1.5910500000000001e-18,98307
Aluminum Wall 6mm (BaseLine),3.5,1.5955500000000001e-18,99965
Aluminum Wall 6mm (BaseLine),4.0,1.59571e-18,98459
Aluminum Wall 6mm (BaseLine),4.5,1.5867700000000001e-18,97190
Aluminum Wall 6mm (BaseLine),5.0,1.5895100000000002e-18,96790
Aluminum Wall 6mm (BaseLine),5.5,1.5926400000000002e-18,98665
